core.externalId,core.name,Parent: Business Term,Parent: Domain,Parent: Subdomain,Parent: System,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.isCDE,com.infa.ccgf.models.governance.FormatDescription,com.infa.ccgf.models.governance.FormatType,com.infa.ccgf.models.governance.securityClassification,com.infa.ccgf.models.governance.Examples,com.infa.ccgf.models.governance.BusinessLogic,com.infa.ccgf.models.governance.AliasNames,com.infa.odin.models.custom.ca_8269725092080610514,com.infa.odin.models.custom.ca_5211450685878080937,com.infa.odin.models.custom.ca_5158005540324682982,com.infa.odin.models.custom.ca_810120234191396501,com.infa.odin.models.custom.ca_3640948772104234602,Classifications,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
Instructor-businessterm-64,Last Name,,,Person | Instructor-subdomain-4,,"A communication type can be SMS, email, or standard mail. Communication with the party can be a promotional SMS or a promotional email, etc.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Person/Last Name,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,1ae98007-3d87-43e3-aafb-2c1e0b94d098,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/1ae98007-3d87-43e3-aafb-2c1e0b94d098,CDGC
Instructor-businessterm-144,Phone Status Code,,,Party Phone Communication | Instructor-subdomain-26,,"The address verification service returns the result percentage, which indicates how similar is the corrected result to the input address. Values close to 100% imply high similarity.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Phone Communication/Phone Status Code,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,1b0adbeb-8012-4d9d-b566-a0311b1587c6,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/4ecadc7f-fdea-403a-9a38-81dd057c5b38/1b0adbeb-8012-4d9d-b566-a0311b1587c6,CDGC
Instructor-businessterm-114,Indicator Value,,,Party Customer Indicator | Instructor-subdomain-20,,values of the statuses of a party based on Party Status Type,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Customer Indicator/Indicator Value,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,1de1f129-eac7-4f47-931d-359841a76768,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/2e10c520-d2f9-4550-9038-dba0476cd81d/1de1f129-eac7-4f47-931d-359841a76768,CDGC
BT-106,beenu_emp,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",beenu,,,,"","","","",Assigned,beenu_emp,Update,"Mar 16, 2025, 06:00:02 AM",beenu,"Mar 16, 2025, 06:00:34 AM",beenu,1f3bef58-6c96-41bd-be2f-01d37fd69acd,CDGC://1f3bef58-6c96-41bd-be2f-01d37fd69acd,CDGC
BT-65,Email_id,,,,,Valid customer or GE internal representative e-mail address to deliver electronic invoice (eg. John.Smith@aa.com),Published,true,,Text,,,,,Unrestricted,NONE,,,,"",,,,,"","","","",,Email_id,Update,"Mar 03, 2025, 05:42:54 AM",amitk,"Mar 03, 2025, 05:42:54 AM",amitk,22a4d549-204f-4b7a-a49f-804396b80081,CDGC://22a4d549-204f-4b7a-a49f-804396b80081,CDGC
BT01,BT HCustomer name,,Customer | D01,,,,Published,false,,Text,Public,,,Cname,,,,,,"",,HannibalHenry,,,"","","","",Assigned,Customer/BT HCustomer name,Update,"Jan 13, 2025, 07:49:01 AM",HannibalHenry,"Jan 13, 2025, 07:49:01 AM",HannibalHenry,22fbfbac-4b01-4a74-9340-c11a7f715f5d,CDGC://72fda73b-35e5-4f05-beef-857319832089/22fbfbac-4b01-4a74-9340-c11a7f715f5d,CDGC
GLOS-1078,English Certificate,,,Sourcing and Assessment | GLOS-916,,The certificate or proof of English language proficiency obtained by  job candidate.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition/Sourcing and Assessment/English Certificate,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,24fd1457-fdc0-4eb7-a1a7-c2ea340989c1,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/33064f6b-71c5-4898-ba81-0ba8fb7414bb/24fd1457-fdc0-4eb7-a1a7-c2ea340989c1,CDGC
BT-5,Department identifier,,,Department | SDOM-2,,,Published,false,,Text,Internal,,,department id,,,,,,"",,Adeno,,,"","","","",Assigned,Human_resource/Department/Department identifier,Update,"Sep 26, 2024, 05:08:52 AM",Sherin,"Sep 26, 2024, 05:08:52 AM",Sherin,25ca3ef8-e134-43d3-b76a-282e9f53962a,CDGC://b824c3be-60ae-4db2-9d47-58a2e2d2e900/59726ddc-0afa-4e9e-aebd-a6df22666732/25ca3ef8-e134-43d3-b76a-282e9f53962a,CDGC
BT-27,Countryy,,,Address Test | SDOM-22,,,Published,false,,Text,,,,,,,,,,"",,,infa_admin,,"","","","",Assigned,DEMO/Address Test/Countryy,Update,"Jan 08, 2025, 01:14:39 PM",AswathyNagarajan,"Jan 09, 2025, 12:56:16 PM",infa_admin,2600c03a-3b2c-4c19-8ea8-3dac95c15933,CDGC://5e49a6fe-8571-4a13-8bd8-ef2331d6beef/f1a04474-233b-46ed-a327-ff6fa90726d6/2600c03a-3b2c-4c19-8ea8-3dac95c15933,CDGC
Instructor-businessterm-154,Phone Number Extension,,,Party Phone Communication | Instructor-subdomain-26,,Description for the time period.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Phone Communication/Phone Number Extension,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,27f45a6c-6453-4ce8-b058-97021fb22b8d,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/4ecadc7f-fdea-403a-9a38-81dd057c5b38/27f45a6c-6453-4ce8-b058-97021fb22b8d,CDGC
Instructor-businessterm-37,Financial Unit,,Financial Profile | Instructor-domain-6,,,"Value can be any of the demographic values for each demographic type. For example, if ethnicity is a demographic type, then Hispanic and Asian are the demographic values",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Financial Profile/Financial Unit,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,2deafa94-def2-4d41-8995-aef286b4ded0,CDGC://79eb3936-3be3-44f4-a6b9-376196624a10/2deafa94-def2-4d41-8995-aef286b4ded0,CDGC
Instructor-businessterm-155,National Prefix,,,Party Phone Communication | Instructor-subdomain-26,,"If the time period type is day of the week, Monday, Tuesday, and weekdays are the time period values.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Phone Communication/National Prefix,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,2e277b7a-d9e9-4e62-8e4f-4549aa57f633,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/4ecadc7f-fdea-403a-9a38-81dd057c5b38/2e277b7a-d9e9-4e62-8e4f-4549aa57f633,CDGC
BT-138,ManagerID,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,ManagerID,Update,"Mar 19, 2025, 12:09:29 PM",AshikaA,"Mar 19, 2025, 12:09:29 PM",AshikaA,335fee13-5f4c-484e-9736-2da39850e292,CDGC://335fee13-5f4c-484e-9736-2da39850e292,CDGC
Instructor-businessterm-46,Insurance Sub Type,,Insurance | Instructor-domain-7,,,"Line of business, such as retail or mortgage.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Insurance/Insurance Sub Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,33c8989d-3b9c-4d60-b25e-829076e315fc,CDGC://6b48bc97-e35b-4ab4-8248-5cc5354c1bd8/33c8989d-3b9c-4d60-b25e-829076e315fc,CDGC
Instructor-businessterm-9,City,,Postal Address | Instructor-domain-2,,,Name of the executive.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/City,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,35692de2-23dd-4d2d-8d90-9217c58c86c0,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/35692de2-23dd-4d2d-8d90-9217c58c86c0,CDGC
Instructor-businessterm-43,Insurance Value,,Insurance | Instructor-domain-7,,,"If the party is an individual, designation of party.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Insurance/Insurance Value,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,39cb13fa-1e1f-4e7b-953a-85deaab2568b,CDGC://6b48bc97-e35b-4ab4-8248-5cc5354c1bd8/39cb13fa-1e1f-4e7b-953a-85deaab2568b,CDGC
BT-130,PersonID,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,PersonID,Update,"Mar 19, 2025, 11:50:38 AM",AshikaA,"Mar 19, 2025, 11:50:38 AM",AshikaA,3ab8e885-6e72-4a2f-8862-f683cd69d5dd,CDGC://3ab8e885-6e72-4a2f-8862-f683cd69d5dd,CDGC
Instructor-businessterm-90,Qualification Status,,,Party Education | Instructor-subdomain-9,,"Type of loyalty account, such as elite, premium, silver, gold, or privileged.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Person/Party Education/Qualification Status,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,3b5fc790-dcf7-4f50-a4c7-505a520133f5,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/d06ef326-3255-4a0e-a628-06ef300d5461/3b5fc790-dcf7-4f50-a4c7-505a520133f5,CDGC
BT-136,HireDate,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,HireDate,Update,"Mar 19, 2025, 12:05:11 PM",AshikaA,"Mar 19, 2025, 12:05:11 PM",AshikaA,3ed5b6f6-5329-4a0f-9140-f1822057d3b6,CDGC://3ed5b6f6-5329-4a0f-9140-f1822057d3b6,CDGC
GLOS-1050,Employee Username,,,Access Management | GLOS-908,,is a unique identifier used for employee authentication and authorization. it should be same as the employee's email.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/IT & Digitization/IT Infrastructure and Information Security Solutions/Access Management/Employee Username,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,400ea909-2252-4713-9d5b-ec3feecfaf4f,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/56b53872-86cc-421a-a96e-802744fba310/630f9f98-9765-47b4-bb84-a26a1a9ebfd3/d124946d-9094-4c25-9079-3a1290e57cb5/400ea909-2252-4713-9d5b-ec3feecfaf4f,CDGC
Instructor-businessterm-3,Party Designation,,Party | Instructor-domain-1,,,Designation or position of the party.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Designation,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,41c8767b-15b8-4ef0-a5e9-1a23468d6df2,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/41c8767b-15b8-4ef0-a5e9-1a23468d6df2,CDGC
Instructor-businessterm-31,Campaign Description,,Campaign | Instructor-domain-4,,,"Retail, Commercial, Non-Profit",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Campaign/Campaign Description,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,4284335f-8128-45cf-b845-b0487de0eff2,CDGC://2ae5aecc-7eba-467a-8498-3e0824a49b83/4284335f-8128-45cf-b845-b0487de0eff2,CDGC
GLOS-1037,Event Reason,,,HCM Joint Terms - Group 1 | GLOS-926,,This field specifies the code for the event reason,Published,true,,Text,Public,,This field should exclusively accept numerical values only.,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/HCM Joint Terms - Group 1/Event Reason,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,4427c850-7c13-4007-902a-a307844e565a,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/7176ee1b-61c9-40fa-abe4-8b90974a65f9/4427c850-7c13-4007-902a-a307844e565a,CDGC
Instructor-businessterm-54,Date of Incorporation,,,Organization | Instructor-subdomain-1,,"A party group can be household, special interest or advocacy group, or project group. For example, a household represents a set of people who belong to the same family.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Organization/Date of Incorporation,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,45940eef-84de-41cf-9edd-8c9923eebca7,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/d95abf73-32e9-49c9-b079-207f29e13640/45940eef-84de-41cf-9edd-8c9923eebca7,CDGC
BT-76,Test Business Term,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,,,,"",,,,,"","","","",,Test Business Term,Update,"Mar 03, 2025, 12:39:37 PM",infa_data,"Mar 03, 2025, 12:40:12 PM",infa_data,46181b9d-1ba8-4ded-9c2a-8d11fe72ac8c,CDGC://46181b9d-1ba8-4ded-9c2a-8d11fe72ac8c,CDGC
GLOS-1088,Number of Openings,,,Sourcing and Assessment | GLOS-916,,The number of job openings available for a specific job role within ZATCA.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition/Sourcing and Assessment/Number of Openings,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,472d97a0-edcb-4184-8756-7ca6ba48e086,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/33064f6b-71c5-4898-ba81-0ba8fb7414bb/472d97a0-edcb-4184-8756-7ca6ba48e086,CDGC
Instructor-businessterm-141,Opt Out Flag,,,Party Opt In Information | Instructor-subdomain-25,,Postal barcode.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Opt In Information/Opt Out Flag,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,48fd674b-1594-4b66-9f8a-df528cf1de27,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/172e3672-fd4b-4614-809d-77cf92095e03/48fd674b-1594-4b66-9f8a-df528cf1de27,CDGC
Instructor-businessterm-49,Product Id,,Product | Instructor-domain-8,,,"The lifestyle details can indicate whether a person is a smoker, traveller, or gambler. Lifestyle type can be movie maniac, or classical music listener.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Product/Product Id,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,495a1cca-8a0c-4b66-a263-dc28d0417365,CDGC://56298ec2-d512-44bf-849f-8d2680d1dfc6/495a1cca-8a0c-4b66-a263-dc28d0417365,CDGC
BT-84,CurrencyBusinessKey,,,Andrea_Currency | SDOM-37,,,Published,true,,Text,,,,,Unrestricted,NONE,,,,"",,,,Shefreena,"","","","",Assigned,Currency/Andrea_Currency/CurrencyBusinessKey,Update,"Mar 05, 2025, 07:02:38 AM",Shefreena,"Mar 05, 2025, 07:02:42 AM",Shefreena,4a3ca927-4b49-412e-8ecd-08bcd052398f,CDGC://13463edd-5b08-4c3d-bb82-abe7282ad3f9/6cc2325b-6dac-4fb5-9745-9d22f8db79e4/4a3ca927-4b49-412e-8ecd-08bcd052398f,CDGC
GLOS-1095,Remark/Comment,,,OD & Manpower Planning | GLOS-918,,Additional notes or comments related to the position.,Published,true,,Text,Public,,This is an open text field.,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/HC COE/OD & Manpower Planning/Remark/Comment,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,4e6cfe6f-3c2d-4441-8424-7ed9a113bb92,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/d7855461-546b-487f-a589-593392eae9b2/e340a38e-6ac3-4db8-a04f-eb444b07b408/4e6cfe6f-3c2d-4441-8424-7ed9a113bb92,CDGC
BT-116,Model,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,Model,Update,"Mar 19, 2025, 10:51:00 AM",AshikaA,"Mar 19, 2025, 10:51:00 AM",AshikaA,4fc49d99-be23-45e2-8d39-2a44b0c52371,CDGC://4fc49d99-be23-45e2-8d39-2a44b0c52371,CDGC
BT004,Invoice Date 1,,Finance Domain 1 | DM003,,,Date when the invoice was issued,Published,false,YYYY-MM-DD,Date,Internal,2023-12-01,Must not be in the future,Billing Date,,,,,,"",,,,,"","","","",,Finance Domain 1/Invoice Date 1,Update,"Jan 10, 2025, 08:25:33 AM",RiswinT,"Jan 10, 2025, 08:25:33 AM",RiswinT,4ff4b612-8464-4db1-bb83-37c3e6c0f74c,CDGC://4ea81418-58c6-43eb-a0a4-f4edbc6228d3/4ff4b612-8464-4db1-bb83-37c3e6c0f74c,CDGC
