core.externalId,core.name,Parent: Policy,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.URL,com.infa.ccgf.models.governance.Comments,com.infa.ccgf.models.governance.effectiveDate,com.infa.ccgf.models.governance.endDate,com.infa.ccgf.models.governance.Type,com.infa.odin.models.custom.ca_1986084855431728706,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: Admin,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
Instructor-policy-81,Data Matching with Other Systems,Data Usage Policy | Instructor-policy-80,SAMPLE: Comparing data stores across disparate systems,Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Data Usage Policy/Data Matching with Other Systems,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,31825d0e-cda6-4508-b82c-9110ece06870,CDGC://4a3eebb2-07b1-4fb7-833c-17003f671333/31825d0e-cda6-4508-b82c-9110ece06870,CDGC
Instructor-policy-49,Identification Related,Personal Data Involved Policy | Instructor-policy-33,"SAMPLE: Unique identifier (Field examples: Username, Universally Unique Identifier (UUID))",Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Personal Data Involved Policy/Identification Related,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,31b59a6b-7084-4ed8-81b6-d89f1134b468,CDGC://df55be59-ca57-414c-add9-c86ab10873a0/31b59a6b-7084-4ed8-81b6-d89f1134b468,CDGC
Instructor-policy-108,TRA Required - Yes,TRA Policies | Instructor-policy-107,Policy to indicate TRA is required,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Transfers of personal data to third countries or international organisations/Data Sharing Agreements (DSAs)/TRA Policies/TRA Required - Yes,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,34d66bfd-0f61-42fc-bf32-b19ea419a312,CDGC://11baeca5-a758-4359-81a2-d36eb71d6d25/7f575d34-10d5-4f7d-b8f5-ff6d97ca90dd/1d165359-7061-40b1-bafe-88374e4d8cae/34d66bfd-0f61-42fc-bf32-b19ea419a312,CDGC
Instructor-policy-135,Retain for 1 month after creation,Retention Schedule Policy | Instructor-policy-120,SAMPLE: 1 month after the creation,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Retention Schedule Policy/Retain for 1 month after creation,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,3e0b46af-8b4b-4684-828d-a6aaa3d20630,CDGC://5859737c-b6b8-4429-abde-eb8aac5ee7cf/3e0b46af-8b4b-4684-828d-a6aaa3d20630,CDGC
Instructor-policy-42,Education Related,Personal Data Involved Policy | Instructor-policy-33,"SAMPLE: Educational information (Field examples: Educational Information - Diplomas, Degrees, Schools attended etc.)",Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Personal Data Involved Policy/Education Related,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,493728a6-3c40-4772-ad21-51c579f6b492,CDGC://df55be59-ca57-414c-add9-c86ab10873a0/493728a6-3c40-4772-ad21-51c579f6b492,CDGC
Instructor-policy-4,Invoicing,Purpose of processing | Instructor-policy-3,SAMPLE: The purpose of conducting this process is for invoicing,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Purpose of processing/Invoicing,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,51467e3f-c229-4df5-a067-1d294ff75257,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb59fc04-477d-4568-be9a-539ac46e4d3a/51467e3f-c229-4df5-a067-1d294ff75257,CDGC
Instructor-policy-32,Lawfulness of Processing Criminal Related Data,,SAMPLE: Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects. Any comprehensive register of criminal convictions shall be kept only under the control of official authority.,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Criminal Related Data,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Mar 19, 2025, 05:43:40 AM",infa_admin,528dbfcb-0150-461f-9198-0e210b14fc4a,CDGC://528dbfcb-0150-461f-9198-0e210b14fc4a,CDGC
Instructor-policy-25,9.2(d) Foundation Members,Lawfulness of Processing Sensitive Personal Data | Instructor-policy-21,"SAMPLE: Processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects;",Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Lawfulness of Processing Sensitive Personal Data/9.2(d) Foundation Members,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,5711e051-7796-46ca-8bc4-37dcf381c75f,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb7e75f5-aebf-4769-9107-3e4fb543ee99/5711e051-7796-46ca-8bc4-37dcf381c75f,CDGC
Instructor-policy-97,Transfer on the basis of an adequacy decision,Transfers of personal data to third countries or international organisations | Instructor-policy-96,SAMPLE: Transfers may be made on the basis of an adequacy decision,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Transfers of personal data to third countries or international organisations/Transfer on the basis of an adequacy decision,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,5c1039b2-7b82-4ae7-9625-af2595cf0f7d,CDGC://11baeca5-a758-4359-81a2-d36eb71d6d25/5c1039b2-7b82-4ae7-9625-af2595cf0f7d,CDGC
Instructor-policy-67,Data Subject Type Policy,,"SAMPLE: Data subject type should be:Existing customer contact, Prospective customer lead contacts, Current employee, Prospective employee, Former employee, Family members including beneficiaries and dependents, The general public, Internal and external users, Holders of Company shares, Supplier or vendor contact , Website visitors, On premises visitors",Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Data Subject Type Policy,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Mar 19, 2025, 05:44:26 AM",infa_admin,5c69eaa8-4052-4251-ba0d-924f6657d0d4,CDGC://5c69eaa8-4052-4251-ba0d-924f6657d0d4,CDGC
POL-2,_john_Policy_Sensitive_Banking_Data,Confidential Data | Instructor-policy-89,,Published,,,,,Data Standards,,,,abish,"","","","","",Assigned,Data Classification Policy/Confidential Data/_john_Policy_Sensitive_Banking_Data,Update,"Mar 11, 2025, 05:50:50 AM",abish,"Mar 11, 2025, 05:50:53 AM",abish,610832de-a5bf-497c-bb28-0b439ca83214,CDGC://06f09923-5a19-42fe-a567-88e0188e31db/5b0c5f46-4739-4235-b34d-bd2fb3e8e8f8/610832de-a5bf-497c-bb28-0b439ca83214,CDGC
Instructor-policy-34,Affiliation,Personal Data Involved Policy | Instructor-policy-33,"SAMPLE: Group affiliation (Field examples: Religious Group Membership, Political affiliation),",Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Personal Data Involved Policy/Affiliation,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,625269e3-1c12-48cb-86c2-310e8945c019,CDGC://df55be59-ca57-414c-add9-c86ab10873a0/625269e3-1c12-48cb-86c2-310e8945c019,CDGC
Instructor-policy-13,Sales,Purpose of processing | Instructor-policy-3,SAMPLE: The purpose of conducting this process is for Sales,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Purpose of processing/Sales,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,63a9fe90-1368-4b23-ae82-595fcec8430f,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb59fc04-477d-4568-be9a-539ac46e4d3a/63a9fe90-1368-4b23-ae82-595fcec8430f,CDGC
Instructor-policy-106,GK DSA,IDTA Policies | Instructor-policy-105,If restricted transfer within the UK,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Transfers of personal data to third countries or international organisations/Data Sharing Agreements (DSAs)/IDTA Policies/GK DSA,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,725e5e1d-f9b6-4453-bc8d-a3963011a377,CDGC://11baeca5-a758-4359-81a2-d36eb71d6d25/7f575d34-10d5-4f7d-b8f5-ff6d97ca90dd/934a0f74-2b1a-48cd-9c83-dd9aabb5c169/725e5e1d-f9b6-4453-bc8d-a3963011a377,CDGC
Instructor-policy-143,In-Transit Encryption,Encryption | Instructor-policy-142,SAMPLE:  A method of protecting data by encoding while in motion,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Encryption/In-Transit Encryption,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,78a46f51-c604-42f2-a2d1-8378e6669ea2,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/ac45ab92-4c65-4b32-bbd0-f0961c2c41c3/78a46f51-c604-42f2-a2d1-8378e6669ea2,CDGC
Instructor-policy-109,TRA required - No,TRA Policies | Instructor-policy-107,Policy to indicate TRA is not required,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Transfers of personal data to third countries or international organisations/Data Sharing Agreements (DSAs)/TRA Policies/TRA required - No,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,7ff1d499-63a5-4c71-b02d-605724f876b7,CDGC://11baeca5-a758-4359-81a2-d36eb71d6d25/7f575d34-10d5-4f7d-b8f5-ff6d97ca90dd/1d165359-7061-40b1-bafe-88374e4d8cae/7ff1d499-63a5-4c71-b02d-605724f876b7,CDGC
Instructor-policy-48,Health,Personal Data Involved Policy | Instructor-policy-33,"SAMPLE: Health Data (Field examples: Physical Disability, Mental Disability, Medical Condition etc.)",Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Personal Data Involved Policy/Health,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,80f174d6-5b42-4171-96cd-cca4c55797b2,CDGC://df55be59-ca57-414c-add9-c86ab10873a0/80f174d6-5b42-4171-96cd-cca4c55797b2,CDGC
Instructor-policy-153,Blurring,Anonymization | Instructor-policy-150,SAMPLE:  An anonymization technique uses an approximation of data values to render their meaning obsolete and/or make it impossible to identify individuals,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Pseudonymization/Anonymization/Blurring,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,8cf064df-2f1b-4e52-92c9-99ac5e68fa41,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/ab18fa01-21da-4a59-aff6-b56fd11ff202/aa03185f-6604-4d3e-a002-a5f39565db12/8cf064df-2f1b-4e52-92c9-99ac5e68fa41,CDGC
Instructor-policy-145,Hash Functions,Encryption | Instructor-policy-142,SAMPLE:  Data hashing is used to index original values,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Encryption/Hash Functions,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,8ddb845a-c831-4e26-88fc-77216056c5ad,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/ac45ab92-4c65-4b32-bbd0-f0961c2c41c3/8ddb845a-c831-4e26-88fc-77216056c5ad,CDGC
Instructor-policy-152,Tokenization,Anonymization | Instructor-policy-150,"SAMPLE:  A process of turning a meaningful piece of data, such as an account number, into a random string of characters called a token that has no meaningful value if breached. Tokens serve as reference to the original data, but cannot be used to guess those values",Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Pseudonymization/Anonymization/Tokenization,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,9459112f-217d-4746-8a42-06b4e07cff74,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/ab18fa01-21da-4a59-aff6-b56fd11ff202/aa03185f-6604-4d3e-a002-a5f39565db12/9459112f-217d-4746-8a42-06b4e07cff74,CDGC
Instructor-policy-103,Vendor Specific DSA,Data Sharing Agreements (DSAs) | Instructor-policy-102,"SAMPLE: DSA for Survey vendor to hold data long enough to complete survey, mask account numbers, business purpose data can be used for.",Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Transfers of personal data to third countries or international organisations/Data Sharing Agreements (DSAs)/Vendor Specific DSA,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,9799daa1-bb04-4ee4-8a87-848d132c4a56,CDGC://11baeca5-a758-4359-81a2-d36eb71d6d25/7f575d34-10d5-4f7d-b8f5-ff6d97ca90dd/9799daa1-bb04-4ee4-8a87-848d132c4a56,CDGC
Instructor-policy-147,Asymmetric or public key,Encryption | Instructor-policy-142,SAMPLE:  Uses different keys - public key for the encryption and private key for the decryption,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Encryption/Asymmetric or public key,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,9d8358e0-b7f5-48c6-942c-bf9aa582cfa7,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/ac45ab92-4c65-4b32-bbd0-f0961c2c41c3/9d8358e0-b7f5-48c6-942c-bf9aa582cfa7,CDGC
Instructor-policy-46,Gender Related,Personal Data Involved Policy | Instructor-policy-33,"SAMPLE: Gender or Sexual Orientation (Field examples: Gender Identification, Sex, Sexual Orientation)",Published,,,,,Data Standards,,infa_data,infa_admin,,"","","","","",Assigned,Personal Data Involved Policy/Gender Related,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,a33a0c87-4c90-4db4-ac28-16cec7637845,CDGC://df55be59-ca57-414c-add9-c86ab10873a0/a33a0c87-4c90-4db4-ac28-16cec7637845,CDGC
Instructor-policy-150,Anonymization,Pseudonymization | Instructor-policy-148,SAMPLE:  An irreversible de-identification procedure by which personally identifiable information fields within a data record are replaced by one or more artificial identifiers.,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Security Measures Policy/Pseudonymization/Anonymization,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,aa03185f-6604-4d3e-a002-a5f39565db12,CDGC://fe406c7a-5a05-42e1-bbf2-7d4e266102c9/ab18fa01-21da-4a59-aff6-b56fd11ff202/aa03185f-6604-4d3e-a002-a5f39565db12,CDGC
Instructor-policy-66,Criminal record,Protected Classification Policy | Instructor-policy-57,SAMPLE: Criminal record,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Protected Classification Policy/Criminal record,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,b0214309-0c1a-45ca-a6e6-66eca6345c47,CDGC://53d29c1a-7ba0-4dff-ba11-ca2baf804943/b0214309-0c1a-45ca-a6e6-66eca6345c47,CDGC
Instructor-policy-3,Purpose of processing,Lawfulness of Processing Personal Data | Instructor-policy-2,SAMPLE: The purpose of processing must be described in line with privacy regulations,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Purpose of processing,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,bb59fc04-477d-4568-be9a-539ac46e4d3a,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb59fc04-477d-4568-be9a-539ac46e4d3a,CDGC
Instructor-policy-110,PIA Policies,,SAMPLE: Privacy Impact Assessment (PIA) Policies,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,PIA Policies,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,c63f93d9-200e-42de-84fa-89147048f501,CDGC://c63f93d9-200e-42de-84fa-89147048f501,CDGC
Instructor-policy-121,Retain for unlimited period,Retention Schedule Policy | Instructor-policy-120,SAMPLE: Retain for unlimited period,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Retention Schedule Policy/Retain for unlimited period,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,e9045b4c-860a-43ba-9a43-233a115160f8,CDGC://5859737c-b6b8-4429-abde-eb8aac5ee7cf/e9045b4c-860a-43ba-9a43-233a115160f8,CDGC
Instructor-policy-58,Racial or ethnic origin,Protected Classification Policy | Instructor-policy-57,SAMPLE: Racial or ethnic origin,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Protected Classification Policy/Racial or ethnic origin,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,e942ff2b-7e74-42cd-bc51-f1e65bf07de5,CDGC://53d29c1a-7ba0-4dff-ba11-ca2baf804943/e942ff2b-7e74-42cd-bc51-f1e65bf07de5,CDGC
Instructor-policy-11,Financial Reporting,Purpose of processing | Instructor-policy-3,SAMPLE: The purpose of conducting this process is for Financial Reporting,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Purpose of processing/Financial Reporting,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,eb24052f-e6fc-4555-8617-a103630350fa,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb59fc04-477d-4568-be9a-539ac46e4d3a/eb24052f-e6fc-4555-8617-a103630350fa,CDGC
Instructor-policy-60,Religious or philosophical beliefs,Protected Classification Policy | Instructor-policy-57,SAMPLE: Religious or philosophical beliefs,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Protected Classification Policy/Religious or philosophical beliefs,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,ec29f6a8-99c4-4d0a-ade1-3e733b97208c,CDGC://53d29c1a-7ba0-4dff-ba11-ca2baf804943/ec29f6a8-99c4-4d0a-ade1-3e733b97208c,CDGC
Instructor-policy-61,Trade union membership,Protected Classification Policy | Instructor-policy-57,SAMPLE: Trade union membership,Published,,,,,Technical Standards,,infa_data,infa_admin,,"","","","","",Assigned,Protected Classification Policy/Trade union membership,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,f1990c08-67e7-496c-ad8d-921a8c324496,CDGC://53d29c1a-7ba0-4dff-ba11-ca2baf804943/f1990c08-67e7-496c-ad8d-921a8c324496,CDGC
Instructor-policy-9,Data Management,Purpose of processing | Instructor-policy-3,SAMPLE: The purpose of conducting this process is for Data Management,Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Purpose of processing/Data Management,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,f97e5dda-b421-4543-ba51-1823e1c289d9,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb59fc04-477d-4568-be9a-539ac46e4d3a/f97e5dda-b421-4543-ba51-1823e1c289d9,CDGC
Instructor-policy-29,9.2(h) Medical Necessity,Lawfulness of Processing Sensitive Personal Data | Instructor-policy-21,"SAMPLE: Processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3;",Published,,,,,Business Rule,,infa_data,infa_admin,,"","","","","",Assigned,Lawfulness of Processing Personal Data/Lawfulness of Processing Sensitive Personal Data/9.2(h) Medical Necessity,Update,"Oct 01, 2024, 08:08:31 AM",infa_admin,"Oct 01, 2024, 08:08:31 AM",infa_admin,04e84aea-c6f0-44d3-af43-2b2229aa807a,CDGC://4d274d31-b001-4053-9f81-136557a0b3dc/bb7e75f5-aebf-4769-9107-3e4fb543ee99/04e84aea-c6f0-44d3-af43-2b2229aa807a,CDGC
